id,score,rank
1018450235,0.8510843613191763,5
1032849118,0.033095377412214314,130
1044251683,0.2321029347711233,45
1109523573,0.006526512850653594,166
1115999872,0.00859382262326389,163
1001691228,0.49738445615384613,21
1066117554,0.03112020179232681,134
1110317589,0.8215539986831275,6
1014804742,0.09706102221904762,82
1101829515,0.0326186713485691,132
1120110207,0.0006594850361507936,173
1074170618,0.08823562189663182,90
1101834218,0.1116709940618467,74
1014694309,0.10794327640835442,76
1016317684,0.016044970764390244,155
1078019170,0.36840417595344127,27
1087169928,0.03162282495192034,133
1116565106,0.03817942204301075,123
1117754514,0.013487412791666667,158
1012115857,0.11380059635666666,73
1043329107,0.020796154964516127,148
1102666357,0.13001969523744292,68
1103301367,0.6338291785714285,14
1006930279,0.02602388036228355,143
1027830009,0.08246059635827664,91
1041471627,0.046213387256637165,115
1072992888,0.07333482839430895,99
1074029598,0.1853962478305322,52
1079347654,0.09101897902895753,88
1109572621,0.33352692109609605,33
1098567137,0.0665771046,103
1100391505,0.5196415071849217,19
1057995894,0.08028309754155319,93
1110270422,0.8775709866666667,4
1043991686,0.024373694442630187,144
1095436885,0.020885961826462764,147
1110297472,0.937921280625,1
1015718119,0.10020886801065342,80
1070193201,0.0035408317138540266,169
1102864702,0.20828273208350168,49
1111162740,0.23198353000000002,46
1014381638,0.2993380535286935,35
1097392972,0.3542665596707362,29
1101892396,0.13951388584126984,66
1027407884,0.002355918988240437,171
1109799766,0.0330755648,131
1111334827,0.13445736424579124,67
1014463642,0.04362847507532468,118
1016394851,0.12080573715151516,70
1017373678,0.029913034638656126,138
1039708273,0.06431146897794118,107
1045997279,0.070939765875,101
1107229874,0.008717212682142858,161
1069511399,0.20517163679528985,50
1104320377,0.24604141016654368,40
1030747644,0.7121170461609907,11
1107450811,0.03556531665649225,127
1031818326,0.35258128365433294,30
1117814715,0.0728680503125,100
1013938355,0.10444129354411764,77
1101547463,0.21938157494791666,47
1101837367,0.04391117389633737,117
1101886859,0.014860410741193738,156
1102866530,0.037224266981823,125
1029150179,0.16452293577777777,57
1036356959,0.15888946001612902,60
1015333478,0.16946099788316402,55
1027759332,0.6004674243006993,15
1064863748,0.07790176837493734,95
1073979297,0.16062603893118033,58
1108027846,0.3068868212653061,34
1042847119,0.06675541045658263,102
1059497354,0.0033338465255479967,170
1110453695,0.14252509851515152,65
1012767383,0.008676630818725868,162
1060372616,0.02946636996875,140
1087521120,0.04825108093333333,114
1043587419,0.0397730841504329,120
1110251016,0.0293057320625,141
1042460032,0.10376077937037037,78
1093774853,0.05127603010136363,112
1096855424,0.12549288549906643,69
1112316247,0.24234665666666666,42
1008307576,0.49476947748863637,22
1060243198,0.029473050122021248,139
1084730478,0.2184198363498818,48
1093098618,0.017396873889554795,152
1105228685,0.0010113637571264368,172
1108236850,0.0102512973,160
1080146644,0.154785663730812,61
1013991984,0.07774937830891299,96
1101880667,0.2373663535338346,43
1069030812,0.16048309206824712,59
1079674566,0.030729365825694445,135
1088188986,0.09035601861211341,89
1005121997,0.07423296820014245,98
1008970621,0.09397123421763393,85
1080946416,0.19518810315896706,51
1101895234,0.5408440986197917,17
1100837087,0.04495907793956044,116
1101840416,0.17880457809122655,53
1085651658,0.6807641822222222,12
1006981645,0.03055901286666667,136
1083195042,0.06465505831377551,104
1122271078,0.01831330624125874,149
1005186929,0.09604340552809917,83
1065676840,0.09328929,87
1038792703,0.03769126256652174,124
1100333882,0.254123692739726,39
1047756216,0.1093916080891892,75
1105550337,0.022324109125,146
1074371021,0.2667641451277778,38
1101865424,0.057057608231031544,110
1073069045,0.03422654176112547,129
1114864962,0.14498621416985294,63
1004873434,0.07566222,97
1060984019,0.06047520095111111,109
1055869049,0.7299115347120055,9
1002060555,0.9372159022380951,2
1004837018,0.7323259725191229,8
1008745744,0.5062896039511494,20
1003935675,0.008475649378571428,164
1062453762,0.040439933639739585,119
1021238370,0.03539196308125,128
1082492292,0.5610027292707183,16
1035146006,0.09434009053777113,84
1036993246,0.36854528898887273,26
1115056976,0.3615699219642857,28
1081159815,0.918449293587963,3
1110391774,0.15133805643111112,62
1065654446,0.014061451209291748,157
1119482706,0.017897718008620687,151
1011566506,0.5393865861989744,18
1031759351,0.07875187115594645,94
1078935587,0.4340355111683007,23
1006075553,0.17237636212913449,54
1110393751,0.2849481706971154,37
1120436512,0.018240013139455783,150
1101875117,0.064165017,108
1014107872,0.036423393186934674,126
1000261259,0.7428894028719397,7
1018503036,0.10185814763641304,79
1018003100,0.0643149564863803,106
1032466532,0.0822715347449495,92
1016312667,0.038413274181418364,122
1110552911,0.11754171823108066,71
1013135612,0.3472015231462585,32
1089029009,0.012142643875510204,159
1101821578,0.7277784808014572,10
1006043412,0.06455911609248366,105
1080316269,0.1435198248082707,64
1101809802,0.026335628867102712,142
1094787190,0.3497840372058823,31
1016333397,0.24442819403703703,41
1030068853,0.09933895513263889,81
1109032181,0.40998006610294113,25
1007523223,0.0036498567293045342,168
1118620607,0.2906499575,36
1013076006,0.0164620610351639,153
1062416207,0.05026652031128748,113
1103239232,0.16934610423076923,56
1105616570,0.05223019567959184,111
1120074596,0.030457459685132575,137
1110284872,0.006950062565625,165
1101815186,0.038553662442293905,121
1060947071,0.006379623072222222,167
1120913606,0.01625455903292099,154
1075784036,0.2358898001709402,44
1099027923,0.41987740639212834,24
1084997854,0.6501054655703544,13
1106217038,0.11749840246449957,72
1023104679,0.023656595719149083,145
1065167833,0.09358626905,86
